"","sex","cohort","sent","wave1","wave2","wave3","wave4"
"628","F",2,0,0,0,0,0
"629","F",4,1,0,0,0,0
"630","M",4,0,0,0,0,0
"631","M",4,0,0,0,0,0
"632","F",1,0,0,0,0,0
"633","F",1,0,0,0,0,0
"634","M",3,0,0,0,0,0
"635","M",3,0,0,0,0,0
"636","F",7,1,1,1,1,1
"637","M",1,0,0,0,0,0
"638","M",1,0,0,0,0,0
"639","F",4,0,0,0,0,0
"640","M",6,0,0,0,0,0
"641","F",13,0,0,0,NA,NA
"642","F",1,0,0,0,0,0
"643","M",8,0,0,0,0,0
"644","F",4,0,0,0,0,0
"645","F",13,1,0,0,NA,NA
"646","F",1,0,0,0,0,0
"647","F",3,0,0,0,0,0
"648","M",6,0,0,0,0,0
"649","M",1,0,0,0,0,0
"650","F",8,0,0,0,0,0
"651","M",4,0,0,0,0,0
"652","F",6,0,0,0,0,0
"653","F",15,0,0,0,NA,NA
"654","F",10,0,0,0,0,NA
"655","F",8,0,0,0,0,0
"656","F",2,0,0,0,0,0
"657","F",7,0,0,0,0,0
"658","F",4,0,0,0,0,0
"659","F",15,1,0,0,NA,NA
"660","M",2,0,0,0,0,0
"661","M",3,0,0,0,0,0
"662","F",9,1,1,1,1,NA
"663","F",14,1,1,0,NA,NA
"664","F",1,0,0,0,0,0
"665","M",4,0,0,0,0,0
"666","F",5,1,1,1,1,1
"667","M",4,0,0,0,0,0
"668","M",5,1,1,1,1,0
"669","M",6,0,0,0,0,0
"670","F",7,0,0,0,0,0
"671","F",5,1,0,0,1,0
"672","F",2,0,0,0,0,0
"673","F",5,0,0,0,0,0
"674","M",12,1,0,0,0,NA
"675","M",4,0,0,0,0,0
"676","F",3,0,0,0,0,0
"677","F",6,0,0,0,0,0
"678","F",2,0,0,0,0,0
"679","F",8,0,0,0,0,0
"680","F",4,0,0,0,0,0
"681","F",8,0,0,0,0,0
"682","M",6,0,0,0,0,0
"683","F",11,0,0,0,0,NA
"684","F",3,0,0,0,0,0
"685","F",1,0,0,0,0,0
"686","F",1,1,0,0,0,0
"687","F",3,0,0,0,0,0
"688","M",2,0,0,0,0,0
"689","M",5,0,0,0,0,0
"690","F",9,1,0,0,0,NA
"691","F",3,0,0,0,0,0
"692","M",4,0,0,0,0,0
"693","F",8,0,0,0,0,0
"694","M",6,0,0,0,0,0
"695","F",10,0,0,0,0,NA
"696","F",4,0,0,0,0,0
"697","M",10,0,0,0,0,NA
"698","F",3,0,0,0,0,0
"699","F",1,0,0,0,0,0
"700","M",11,1,1,1,1,NA
"701","F",6,0,0,0,0,0
"702","F",1,0,0,0,0,0
"703","M",10,0,0,0,0,NA
"704","F",2,0,0,0,0,0
"705","F",14,0,0,0,NA,NA
"706","M",2,0,0,0,0,0
"707","M",1,0,0,0,0,0
"708","F",3,0,0,0,0,0
"709","M",1,0,0,0,0,0
"710","M",15,0,0,0,NA,NA
"711","M",2,0,0,0,0,0
"712","M",8,0,0,0,0,0
"713","F",6,0,0,0,0,0
"714","M",4,0,0,0,0,0
"715","M",2,0,0,0,0,0
"716","M",6,1,0,1,1,0
"717","F",12,0,0,0,0,NA
"718","M",2,0,0,0,0,0
"719","F",2,0,0,0,0,0
"720","F",6,0,0,0,0,0
"721","F",13,1,0,1,NA,NA
"722","F",3,0,0,0,0,0
"723","F",10,1,1,1,1,NA
"724","F",8,1,1,0,0,0
"725","M",4,0,0,0,0,0
"726","F",10,0,0,0,0,NA
"727","F",2,0,0,0,0,0
"728","F",5,0,0,0,0,0
"729","F",13,1,0,0,NA,NA
"730","F",7,1,0,0,0,0
"731","M",6,0,0,0,0,0
"732","M",3,0,0,0,0,0
"733","F",14,0,0,0,NA,NA
"734","M",4,0,0,0,0,0
"735","F",5,1,0,0,1,0
"736","F",4,0,0,0,0,0
"737","F",1,0,0,0,0,0
"738","F",3,0,0,0,0,0
"739","M",2,0,0,0,0,0
"740","F",16,0,0,0,NA,NA
"741","F",9,1,1,1,1,NA
"742","M",4,0,0,0,0,0
"743","M",1,0,0,0,0,0
"744","F",1,0,0,0,0,0
"745","F",1,0,0,0,0,0
"746","F",1,0,0,0,0,0
"747","M",7,0,0,0,0,0
"748","M",1,0,0,0,0,0
"749","F",14,1,0,0,NA,NA
"750","F",16,1,0,0,NA,NA
"751","F",1,0,0,0,0,0
"752","F",1,0,0,0,0,0
"753","F",4,0,0,0,0,0
"754","M",7,0,0,0,0,0
"755","M",12,1,0,0,0,NA
"756","F",1,0,0,0,0,0
"757","F",7,0,0,0,0,0
