"","sex","ef_age","new_age","acc_inv"
"577","M","(22,80]","(19,33]","0"
"578","F","[16,18]","[16,19]","0"
"579","F","(22,80]","(19,33]","0"
"580","M","(22,80]","(19,33]","0"
"581","F","[16,18]","[16,19]","0"
"582","F","[16,18]","[16,19]","0"
"583","M","(22,80]","(33,80]","0"
"584","F","(18,22]","[16,19]","0"
"585","F","(18,22]","(19,33]","0"
"586","M","[16,18]","[16,19]","0"
"587","M","[16,18]","[16,19]","0"
"588","M","[16,18]","[16,19]","0"
"589","F","(18,22]","[16,19]","0"
"590","F","(22,80]","(19,33]","0"
"591","M","[16,18]","[16,19]","1+"
"592","M","(22,80]","(19,33]","0"
"593","M","[16,18]","[16,19]","0"
"594","M","[16,18]","[16,19]","0"
"595","M","[16,18]","[16,19]","0"
"596","F","(18,22]","(19,33]","0"
"597","F","(22,80]","(19,33]","0"
"598","M","(18,22]","[16,19]","0"
"599","F","(18,22]","[16,19]","0"
"600","F","(22,80]","(19,33]","0"
"601","F","[16,18]","[16,19]","0"
"602","F","[16,18]","[16,19]","0"
"603","F","[16,18]","[16,19]","0"
"604","M","(18,22]","(19,33]","0"
"605","F","(22,80]","(19,33]","0"
"606","F","(22,80]","(19,33]","1+"
"607","F","[16,18]","[16,19]","0"
"608","F","(18,22]","[16,19]","0"
"609","M","(18,22]","(19,33]","0"
"610","F","[16,18]","[16,19]","0"
"611","F","(18,22]","(19,33]","0"
"612","F","(22,80]","(19,33]","0"
"613","F","[16,18]","[16,19]","0"
"614","F","[16,18]","[16,19]","0"
"615","F","(18,22]","(19,33]","0"
"616","M","(22,80]","(19,33]","0"
"617","M","(18,22]","(19,33]","0"
"618","M","[16,18]","[16,19]","0"
"619","M","[16,18]","[16,19]","0"
"620","M","(22,80]","(33,80]","0"
"621","F","(18,22]","[16,19]","0"
"622","F","(22,80]","(19,33]","0"
"623","M","(18,22]","(19,33]","0"
"624","F","(22,80]","(19,33]","0"
"625","F","(22,80]","(33,80]","0"
"626","M","[16,18]","[16,19]","0"
"627","F","[16,18]","[16,19]","0"
"628","F","(22,80]","(33,80]","0"
"629","F","(18,22]","(19,33]","0"
"630","M","(22,80]","(19,33]","0"
"631","M","(22,80]","(33,80]","0"
"632","M","[16,18]","[16,19]","0"
"633","F","(18,22]","(19,33]","0"
"634","M","(18,22]","(19,33]","0"
"635","M","[16,18]","[16,19]","0"
"636","M","[16,18]","[16,19]","0"
"637","F","(22,80]","(19,33]","0"
"638","F","(22,80]","(19,33]","0"
"639","F","[16,18]","[16,19]","0"
"640","F","(22,80]","(19,33]","1+"
"641","F","(22,80]","(33,80]","0"
"642","M","(22,80]","(19,33]","0"
"643","F","[16,18]","[16,19]","0"
"644","M","(18,22]","(19,33]","1+"
"645","M","(22,80]","(19,33]","0"
"646","F","(22,80]","(19,33]","0"
"647","F","(18,22]","[16,19]","0"
"648","M","[16,18]","[16,19]","0"
"649","F","(22,80]","(33,80]","0"
"650","M","(18,22]","(19,33]","0"
"651","F","(22,80]","(19,33]","0"
"652","M","(22,80]","(33,80]","0"
"653","F","[16,18]","[16,19]","0"
"654","M","[16,18]","[16,19]","0"
"655","F","[16,18]","[16,19]","0"
"656","F","(22,80]","(33,80]","0"
"657","F","(18,22]","(19,33]","0"
"658","M","[16,18]","[16,19]","1+"
"659","F","[16,18]","[16,19]","0"
"660","M","[16,18]","[16,19]","0"
"661","F","(22,80]","(19,33]","0"
"662","F","(18,22]","(19,33]","0"
"663","F","(18,22]","[16,19]","0"
"664","M","(22,80]","(33,80]","0"
"665","F","[16,18]","[16,19]","0"
"666","F","[16,18]","[16,19]","0"
"667","F","[16,18]","[16,19]","0"
"668","F","(18,22]","(19,33]","1+"
"669","M","[16,18]","[16,19]","0"
"670","M","[16,18]","[16,19]","0"
"671","M","(22,80]","(19,33]","0"
"672","M","(22,80]","(33,80]","0"
"673","F","(22,80]","(33,80]","1+"
"674","M","(22,80]","(33,80]","0"
"675","F","(18,22]","[16,19]","0"
"676","F","(22,80]","(19,33]","0"
"677","M","(22,80]","(19,33]","0"
"678","F","(22,80]","(33,80]","0"
"679","M","(18,22]","(19,33]","0"
"680","F","[16,18]","[16,19]","0"
"681","F","[16,18]","[16,19]","0"
"682","M","[16,18]","[16,19]","0"
"683","M","(18,22]","[16,19]","0"
"684","M","[16,18]","[16,19]","0"
"685","F","[16,18]","[16,19]","0"
"686","F","[16,18]","[16,19]","0"
"687","F","[16,18]","[16,19]","0"
"688","F","(22,80]","(33,80]","0"
"689","M","[16,18]","[16,19]","0"
"690","M","[16,18]","[16,19]","0"
"691","F","(22,80]","(33,80]","0"
